ticket_id,created_date,priority,category,department,resolution_hours,sla_breached,assigned_team,satisfaction_score,reopen_count
TKT-0001,2023-05-29,Medium,Hardware,Engineering,69.2,0,Team-C,4.4,1
TKT-0002,2023-01-27,High,Other,HR,34.3,1,Team-A,1.4,0
TKT-0003,2023-03-09,Medium,Email,HR,61.4,0,Team-C,,1
TKT-0004,2023-03-19,High,Other,Sales,13.0,0,Team-C,3.8,1
TKT-0005,2023-01-17,Medium,Software,Engineering,35.2,0,Team-B,4.4,0
TKT-0006,2023-07-16,Low,Hardware,Marketing,54.3,0,Team-D,3.2,1
TKT-0007,2023-05-16,Medium,Network,Engineering,60.7,0,Team-B,2.2,0
TKT-0008,2023-04-30,Medium,Access,Marketing,68.3,0,Team-D,4.8,0
TKT-0009,2023-08-18,Low,Access,Marketing,1.3,0,Team-C,4.8,2
TKT-0010,2023-08-10,Critical,Email,Marketing,5.3,1,Team-C,3.4,0
TKT-0011,2023-12-12,High,Other,Finance,47.3,1,Team-B,2.0,0
TKT-0012,2023-01-05,Low,Network,Engineering,22.9,0,Team-D,2.0,0
TKT-0013,2023-04-09,Medium,Network,Engineering,16.2,0,Team-A,2.8,0
TKT-0014,2023-03-04,Low,Other,Engineering,16.0,0,Team-A,3.8,1
TKT-0015,2023-04-05,Medium,Network,Marketing,64.8,0,Team-B,3.7,0
TKT-0016,2023-05-22,Low,Access,Marketing,46.2,0,Team-C,4.8,0
TKT-0017,2023-01-31,Medium,Software,HR,5.0,0,Team-B,3.2,0
TKT-0018,2023-09-09,Low,Network,Finance,44.1,0,Team-D,2.5,0
TKT-0019,2023-02-07,Low,Network,Operations,51.7,0,Team-C,,1
TKT-0020,2023-01-20,Medium,Other,Sales,47.2,0,Team-C,2.0,0
TKT-0021,2023-09-09,Medium,Access,Sales,0.8,0,Team-D,4.1,1
TKT-0022,2023-12-19,Low,Access,Engineering,39.1,0,Team-C,2.0,0
TKT-0023,2023-07-07,High,Email,HR,71.8,1,Team-A,2.6,1
TKT-0024,2023-07-16,Medium,Other,Finance,15.0,0,Team-C,3.7,0
TKT-0025,2023-11-20,Medium,Access,Marketing,26.2,0,Team-B,2.3,0
TKT-0026,2023-02-02,Medium,Email,Marketing,42.9,0,Team-C,3.5,0
TKT-0027,2023-06-23,Low,Network,HR,69.6,0,Team-A,2.0,0
TKT-0028,2023-10-02,Medium,Hardware,Marketing,37.9,0,Team-B,,2
TKT-0029,2023-11-13,High,Network,Finance,47.2,1,Team-B,2.2,0
TKT-0030,2023-11-09,Low,Hardware,Operations,59.2,0,Team-A,2.3,1
TKT-0031,2023-04-14,Medium,Access,HR,57.6,0,Team-D,2.7,0
TKT-0032,2023-04-20,Medium,Network,Operations,10.3,0,Team-B,4.5,0
TKT-0033,2023-10-11,High,Hardware,Sales,30.2,1,Team-B,,2
TKT-0034,2023-03-22,High,Network,Sales,61.1,1,Team-A,2.5,0
TKT-0035,2023-08-02,High,Other,Sales,47.1,1,Team-B,3.2,0
TKT-0036,2023-11-09,Medium,Other,Engineering,30.0,0,Team-B,4.8,1
TKT-0037,2023-08-03,High,Network,Operations,59.6,1,Team-B,1.8,0
TKT-0038,2023-10-04,Low,Email,Finance,44.8,0,Team-D,4.6,1
TKT-0039,2023-12-17,Medium,Access,Sales,14.4,0,Team-B,4.4,0
TKT-0040,2023-05-09,High,Software,Operations,26.5,1,Team-D,1.5,0
TKT-0041,2023-09-06,Low,Email,Engineering,13.1,0,Team-A,4.4,1
TKT-0042,2023-12-13,Medium,Software,Finance,23.8,0,Team-A,2.6,0
TKT-0043,2023-04-23,Medium,Network,Sales,62.7,0,Team-D,3.1,0
TKT-0044,2023-07-11,High,Hardware,Sales,44.1,1,Team-B,1.4,0
TKT-0045,2023-01-31,High,Software,Finance,9.6,0,Team-A,4.1,1
TKT-0046,2023-11-06,High,Hardware,Marketing,25.1,1,Team-B,3.2,0
TKT-0047,2023-04-21,High,Email,Sales,29.9,1,Team-D,2.3,0
TKT-0048,2023-10-24,Medium,Hardware,Operations,18.1,0,Team-B,3.0,2
TKT-0049,2023-09-16,Medium,Network,Sales,3.7,0,Team-D,5.0,0
TKT-0050,2023-10-13,Low,Network,Marketing,32.8,0,Team-D,2.7,2
TKT-0051,2023-09-03,Medium,Other,HR,46.8,0,Team-B,2.3,1
TKT-0052,2023-03-12,Medium,Other,Sales,2.2,0,Team-B,3.4,1
TKT-0053,2023-02-06,Medium,Access,Marketing,45.8,0,Team-C,4.6,0
TKT-0054,2023-10-22,Low,Hardware,Marketing,50.4,0,Team-A,3.8,0
TKT-0055,2023-07-06,Low,Network,Engineering,37.3,0,Team-D,4.7,0
TKT-0056,2023-02-04,Medium,Email,Marketing,13.0,0,Team-B,3.7,0
TKT-0057,2023-10-25,Medium,Other,Finance,46.9,0,Team-B,4.2,0
TKT-0058,2023-07-10,Medium,Software,Sales,30.7,0,Team-D,2.2,0
TKT-0059,2023-05-30,Medium,Access,Operations,38.5,0,Team-C,4.5,1
TKT-0060,2023-08-23,Low,Network,Engineering,67.8,0,Team-D,2.2,1
TKT-0061,2023-12-23,Low,Hardware,Sales,8.3,0,Team-B,2.8,1
TKT-0062,2023-10-05,Medium,Hardware,Sales,21.5,0,Team-C,4.9,0
TKT-0063,2023-09-24,Critical,Other,HR,0.7,0,Team-D,4.4,0
TKT-0064,2023-09-29,Low,Email,Sales,35.3,0,Team-D,4.0,0
TKT-0065,2023-09-05,Low,Software,HR,12.8,0,Team-A,2.8,0
TKT-0066,2023-10-02,Low,Software,Finance,44.7,0,Team-B,2.5,1
TKT-0067,2023-01-22,Medium,Software,Operations,11.5,0,Team-B,2.7,0
TKT-0068,2023-06-26,High,Hardware,HR,51.1,1,Team-D,2.7,0
TKT-0069,2023-09-13,Medium,Hardware,Sales,66.3,0,Team-C,3.2,0
TKT-0070,2023-06-01,Medium,Access,HR,36.8,0,Team-B,3.9,1
TKT-0071,2023-09-03,Low,Network,Finance,24.7,0,Team-A,2.3,0
TKT-0072,2023-01-29,Low,Email,Marketing,32.4,0,Team-B,2.3,0
TKT-0073,2023-10-03,Low,Access,Marketing,20.4,0,Team-A,2.1,2
TKT-0074,2023-01-29,Medium,Other,HR,43.6,0,Team-D,3.5,0
TKT-0075,2023-06-29,Medium,Software,Sales,27.2,0,Team-A,2.9,0
TKT-0076,2023-03-25,Medium,Other,Sales,30.2,0,Team-D,3.3,0
TKT-0077,2023-09-26,High,Software,Engineering,15.4,0,Team-D,3.4,0
TKT-0078,2023-12-30,Low,Email,Finance,30.1,0,Team-B,3.7,0
TKT-0079,2023-10-27,Medium,Software,Sales,3.5,0,Team-D,4.5,0
TKT-0080,2023-11-22,High,Access,Engineering,22.0,0,Team-C,3.9,0
TKT-0081,2023-05-22,Medium,Access,Engineering,18.0,0,Team-C,2.4,0
TKT-0082,2023-12-22,Low,Network,HR,45.4,0,Team-A,3.4,1
TKT-0083,2023-03-11,High,Software,Finance,23.4,0,Team-A,4.6,0
TKT-0084,2023-09-29,Low,Other,Engineering,26.0,0,Team-B,2.9,1
TKT-0085,2023-06-11,High,Other,HR,54.3,1,Team-C,2.4,0
TKT-0086,2023-01-07,High,Hardware,Operations,42.0,1,Team-C,3.1,0
TKT-0087,2023-03-21,Medium,Email,Finance,65.6,0,Team-B,2.3,1
TKT-0088,2023-12-31,Medium,Email,Marketing,68.6,0,Team-A,4.5,0
TKT-0089,2023-06-28,High,Software,Marketing,9.9,0,Team-C,2.1,0
TKT-0090,2023-03-30,Low,Other,HR,37.9,0,Team-A,4.9,1
TKT-0091,2023-06-07,High,Hardware,Finance,50.1,1,Team-B,2.7,3
TKT-0092,2023-09-05,Low,Access,Engineering,8.5,0,Team-B,2.1,0
TKT-0093,2023-05-10,Medium,Network,Engineering,4.7,0,Team-C,2.4,0
TKT-0094,2023-04-13,Low,Hardware,Marketing,66.3,0,Team-C,2.6,0
TKT-0095,2023-06-30,Medium,Hardware,Operations,20.3,0,Team-B,3.7,0
TKT-0096,2023-04-09,Low,Software,Finance,55.1,0,Team-A,3.6,2
TKT-0097,2023-07-07,High,Other,Operations,36.5,1,Team-B,2.8,0
TKT-0098,2023-04-20,High,Email,Finance,25.9,1,Team-D,1.9,0
TKT-0099,2023-07-04,High,Other,HR,8.4,0,Team-A,2.4,0
TKT-0100,2023-12-18,Medium,Access,Finance,33.2,0,Team-D,4.2,0
TKT-0101,2023-09-01,High,Other,HR,5.5,0,Team-B,4.5,0
TKT-0102,2023-12-13,Medium,Network,Engineering,28.8,0,Team-B,3.6,0
TKT-0103,2023-03-28,Low,Network,HR,53.5,0,Team-B,4.7,0
TKT-0104,2023-09-13,Low,Software,Marketing,9.3,0,Team-C,4.5,1
TKT-0105,2023-07-27,Low,Access,Operations,26.0,0,Team-C,4.0,0
TKT-0106,2023-03-10,High,Network,Engineering,35.5,1,Team-A,1.6,1
TKT-0107,2023-06-05,Critical,Email,Operations,5.0,1,Team-A,1.8,1
TKT-0108,2023-05-31,Medium,Other,Sales,35.7,0,Team-D,3.4,0
TKT-0109,2023-01-17,Low,Access,Engineering,39.1,0,Team-D,2.1,0
TKT-0110,2023-12-04,Medium,Software,Marketing,3.1,0,Team-B,2.5,0
TKT-0111,2023-12-12,Medium,Access,Marketing,35.4,0,Team-D,2.3,0
TKT-0112,2023-07-13,Medium,Email,Marketing,28.5,0,Team-C,3.5,1
TKT-0113,2023-07-07,High,Software,Marketing,42.7,1,Team-A,1.3,1
TKT-0114,2023-07-30,Medium,Software,Engineering,31.1,0,Team-B,5.0,0
TKT-0115,2023-06-06,Medium,Network,HR,65.6,0,Team-B,2.2,0
TKT-0116,2023-08-04,Medium,Software,Engineering,62.2,0,Team-D,3.7,0
TKT-0117,2023-09-08,Medium,Network,Marketing,28.4,0,Team-B,3.7,0
TKT-0118,2023-07-06,Low,Access,Finance,24.8,0,Team-D,3.8,0
TKT-0119,2023-05-16,High,Network,HR,61.3,1,Team-D,1.5,1
TKT-0120,2023-10-31,Low,Software,HR,51.8,0,Team-A,3.7,0
TKT-0121,2023-06-04,Medium,Email,HR,25.3,0,Team-D,2.2,0
TKT-0122,2023-12-10,Medium,Email,Finance,18.5,0,Team-A,3.5,0
TKT-0123,2023-08-28,High,Software,Marketing,36.2,1,Team-D,2.7,2
TKT-0124,2023-05-04,High,Hardware,Marketing,14.8,0,Team-C,3.4,1
TKT-0125,2023-07-31,Low,Software,HR,65.6,0,Team-B,3.9,0
TKT-0126,2023-05-06,Medium,Software,Sales,8.6,0,Team-D,2.6,0
TKT-0127,2023-03-11,Medium,Network,HR,3.1,0,Team-C,2.5,0
TKT-0128,2023-01-11,Low,Network,Engineering,69.4,0,Team-C,3.5,0
