order_id,order_date,product_category,product_name,quantity,unit_price,revenue,region,customer_segment,discount_pct,returned
ORD-0001,2023-10-07,Electronics,Laptop,5,126.22,,North,Home Office,0.05,0
ORD-0002,2023-08-03,Books,History,,282.82,212.12,South,Corporate,0.25,0
ORD-0003,2023-02-22,Clothing,Dress,6,142.55,786.88,North,Corporate,0.08,1
ORD-0004,2023-05-31,Electronics,Headphones,,66.79,408.75,Central,Corporate,0.32,0
ORD-0005,2023-08-21,Clothing,Jeans,2,428.38,599.73,East,Consumer,0.3,0
ORD-0006,2023-05-19,Electronics,Monitor,3,269.4,735.46,Central,Consumer,0.09,0
ORD-0007,2023-10-18,Clothing,T-Shirt,6,203.58,1197.05,East,Consumer,0.02,0
ORD-0008,2023-10-27,Sports,Dumbbell,5,74.12,274.24,West,Home Office,0.26,0
ORD-0009,2023-03-23,Books,Cookbook,2,379.11,530.75,West,Home Office,0.3,1
ORD-0010,2023-12-16,Books,Novel,9,431.09,3879.81,Central,Corporate,0.0,0
ORD-0011,2023-09-14,Clothing,Dress,1,477.14,329.23,South,Home Office,0.31,0
ORD-0012,2023-09-29,Books,History,4,80.66,,North,Home Office,0.27,0
ORD-0013,2023-09-06,Home & Garden,Table,1,124.23,99.38,North,Home Office,0.2,0
ORD-0014,2023-10-04,Books,Data Science,5,266.2,1051.49,South,Home Office,0.21,0
ORD-0015,2023-10-29,Sports,Shoes,8,64.9,,Central,Consumer,0.08,0
ORD-0016,2023-05-02,Electronics,Phone,2,453.18,634.45,East,Home Office,0.3,0
ORD-0017,2023-02-18,Books,History,8,125.28,831.86,North,Home Office,0.17,0
ORD-0018,2023-05-08,Electronics,Laptop,1,204.3,179.78,South,Consumer,0.12,0
ORD-0019,2023-01-26,Sports,Dumbbell,2,224.35,314.09,Central,Consumer,0.3,0
ORD-0020,2023-03-26,Clothing,Dress,8,243.27,1362.31,West,Consumer,0.3,0
ORD-0021,2023-12-05,Sports,Tennis Racket,7,349.81,1812.02,West,Consumer,0.26,0
ORD-0022,2023-09-29,Books,Python Guide,6,33.3,159.84,South,Consumer,0.2,0
ORD-0023,2023-10-24,Books,Python Guide,4,204.87,549.05,Central,Consumer,0.33,0
ORD-0024,2023-07-22,Books,Novel,5,106.11,397.91,South,Home Office,0.25,0
ORD-0025,2023-10-03,Electronics,Laptop,8,312.47,1999.81,South,Home Office,0.2,0
ORD-0026,2023-11-10,Clothing,Jeans,5,83.08,294.93,Central,Consumer,0.29,0
ORD-0027,2023-05-20,Electronics,Phone,5,62.14,298.27,East,Home Office,0.04,0
ORD-0028,2023-11-21,Home & Garden,Plant,8,129.31,703.45,West,Corporate,0.32,1
ORD-0029,2023-12-20,Home & Garden,Table,8,278.08,16123.49,South,Home Office,0.15,1
ORD-0030,2023-01-21,Sports,Dumbbell,1,157.59,108.74,East,Consumer,0.31,0
ORD-0031,2023-03-25,Books,Cookbook,10,375.99,2556.73,South,Corporate,0.32,1
ORD-0032,2023-01-20,Sports,Dumbbell,5,83.8,314.25,West,Consumer,0.25,0
ORD-0033,2023-02-05,Clothing,Jacket,1,331.72,285.28,East,Corporate,0.14,0
ORD-0034,2023-05-16,Books,Novel,1,62.09,40.98,North,Consumer,0.34,0
ORD-0035,2023-01-23,Sports,Shoes,9,62.24,386.51,West,Consumer,0.31,0
ORD-0036,2023-06-10,Clothing,Jeans,7,39.64,213.66,North,Home Office,0.23,0
ORD-0037,2023-07-14,Home & Garden,Rug,5,279.43,1299.35,South,Home Office,0.07,0
ORD-0038,2023-08-27,Home & Garden,Lamp,4,217.79,696.93,West,Corporate,0.2,0
ORD-0039,2023-05-01,Clothing,T-Shirt,,260.15,1014.59,East,Consumer,0.22,0
ORD-0040,2023-12-23,Sports,Shoes,2,230.43,317.99,West,Corporate,0.31,0
ORD-0041,2023-01-26,Electronics,Headphones,4,92.06,243.04,Central,Consumer,0.34,0
ORD-0042,2023-11-10,Sports,Shoes,9,299.75,1807.49,Central,Corporate,0.33,0
ORD-0043,2023-09-24,Sports,Bike Helmet,5,377.13,1338.81,West,Home Office,0.29,0
ORD-0044,2023-04-29,Clothing,Jeans,6,163.26,793.44,West,Home Office,0.19,0
ORD-0045,2023-10-27,Home & Garden,Plant,8,210.81,,North,Home Office,0.07,0
ORD-0046,2023-04-23,Sports,Bike Helmet,9,375.02,2733.9,West,Consumer,0.19,0
ORD-0047,2023-07-21,Sports,Dumbbell,8,460.17,2429.7,Central,Home Office,0.34,0
ORD-0048,2023-06-22,Sports,Dumbbell,1,133.78,119.06,West,Corporate,0.11,0
ORD-0049,2023-04-25,Electronics,Headphones,1,375.77,,North,Home Office,0.02,1
ORD-0050,2023-04-22,Electronics,Monitor,3,123.08,306.47,West,Home Office,0.17,0
ORD-0051,2023-12-13,Electronics,Phone,5,58.51,289.62,West,Corporate,0.01,0
ORD-0052,2023-10-17,Clothing,T-Shirt,5,425.9,1682.31,North,Corporate,0.21,0
ORD-0053,2023-11-22,Home & Garden,Chair,7,412.05,2768.98,West,Home Office,0.04,0
ORD-0054,2023-10-31,Home & Garden,Plant,9,388.45,2936.68,East,Corporate,0.16,0
ORD-0055,2023-09-11,Sports,Dumbbell,8,287.08,1768.41,East,Consumer,0.23,0
ORD-0056,2023-05-04,Home & Garden,Plant,5,280.12,1148.49,West,Corporate,0.18,0
ORD-0057,2023-06-06,Sports,Bike Helmet,1,51.06,46.98,Central,Corporate,0.08,0
ORD-0058,2023-03-03,Books,Novel,6,352.91,1926.89,South,Corporate,0.09,1
ORD-0059,2023-09-26,Clothing,Jacket,4,370.61,1334.2,Central,Corporate,0.1,0
ORD-0060,2023-01-28,Home & Garden,Table,5,12.0,48.6,Central,Corporate,0.19,0
ORD-0061,2023-04-05,Sports,Yoga Mat,1,289.16,242.89,North,Corporate,0.16,0
ORD-0062,2023-10-16,Sports,Bike Helmet,2,290.63,441.76,East,Consumer,0.24,0
ORD-0063,2023-08-15,Books,History,10,116.72,957.1,East,Home Office,0.18,0
ORD-0064,2023-05-03,Books,Python Guide,4,314.63,,South,Home Office,0.09,1
ORD-0065,2023-08-21,Books,Cookbook,5,21.16,95.22,North,Home Office,0.1,0
ORD-0066,2023-05-17,Books,Data Science,7,61.81,398.06,South,Consumer,0.08,1
ORD-0067,2023-05-20,Books,Novel,,66.56,404.68,Central,Home Office,0.24,0
ORD-0068,2023-10-22,Sports,Tennis Racket,10,128.93,1250.62,Central,Consumer,0.03,0
ORD-0069,2023-10-27,Electronics,Phone,8,261.89,1780.85,West,Home Office,0.15,0
ORD-0070,2023-12-22,Sports,Tennis Racket,6,336.72,1414.22,West,Corporate,0.3,0
ORD-0071,2023-07-26,Electronics,Headphones,2,160.69,286.03,Central,Consumer,0.11,0
ORD-0072,2023-01-27,Clothing,Shoes,6,313.2,1559.74,South,Corporate,0.17,0
ORD-0073,2023-03-23,Sports,Yoga Mat,1,486.71,384.5,East,Home Office,0.21,1
ORD-0074,2023-05-30,Electronics,Headphones,2,325.62,618.68,Central,Home Office,0.05,0
ORD-0075,2023-03-11,Clothing,Dress,9,76.6,641.14,North,Corporate,0.07,0
ORD-0076,2023-12-04,Books,Novel,1,145.01,130.51,West,Consumer,0.1,0
ORD-0077,2023-05-03,Books,Cookbook,,466.76,2613.86,Central,Corporate,0.3,0
ORD-0078,2023-03-19,Sports,Bike Helmet,7,494.26,2491.07,West,Consumer,0.28,0
ORD-0079,2023-07-29,Electronics,Headphones,2,265.35,445.79,South,Consumer,0.16,0
ORD-0080,2023-06-12,Sports,Yoga Mat,6,426.91,1793.02,West,Home Office,0.3,1
ORD-0081,2023-02-21,Home & Garden,Table,,219.82,426.45,West,Consumer,0.03,0
ORD-0082,2023-10-17,Electronics,Tablet,6,190.55,1086.14,South,Consumer,0.05,0
ORD-0083,2023-05-11,Clothing,Dress,10,75.84,637.06,North,Corporate,0.16,0
ORD-0084,2023-08-22,Sports,Tennis Racket,10,153.08,1010.33,East,Consumer,0.34,0
ORD-0085,2023-12-04,Sports,Shoes,6,289.53,1129.17,West,Corporate,0.35,1
ORD-0086,2023-04-28,Electronics,Monitor,8,417.26,2269.89,Central,Corporate,0.32,0
ORD-0087,2023-03-09,Clothing,T-Shirt,1,157.92,134.23,North,Corporate,0.15,0
ORD-0088,2023-09-04,Books,Novel,9,253.39,2052.46,East,Home Office,0.1,0
ORD-0089,2023-10-13,Electronics,Phone,4,430.77,,East,Consumer,0.25,0
ORD-0090,2023-02-25,Sports,Tennis Racket,5,294.36,1044.98,South,Corporate,0.29,1
ORD-0091,2023-11-29,Books,Data Science,2,319.52,536.79,West,Consumer,0.16,0
ORD-0092,2023-07-09,Sports,Yoga Mat,2,121.23,196.39,Central,Corporate,0.19,0
ORD-0093,2023-07-09,Electronics,Headphones,10,207.02,1387.03,South,Corporate,0.33,0
ORD-0094,2023-08-21,Home & Garden,Plant,6,34.97,188.84,North,Home Office,0.1,0
ORD-0095,2023-10-11,Electronics,Tablet,4,494.47,1424.07,South,Home Office,0.28,0
ORD-0096,2023-10-04,Clothing,Shoes,1,142.25,93.88,East,Consumer,0.34,1
ORD-0097,2023-08-04,Home & Garden,Table,10,165.27,1553.54,Central,Consumer,0.06,0
ORD-0098,2023-12-04,Books,History,2,228.74,420.88,Central,Corporate,0.08,0
ORD-0099,2023-02-07,Sports,Bike Helmet,7,344.62,2002.24,North,Corporate,0.17,0
ORD-0100,2023-09-16,Books,History,6,193.55,917.43,Central,Corporate,0.21,1
ORD-0101,2023-08-21,Books,Data Science,7,228.52,1471.67,West,Corporate,0.08,0
ORD-0102,2023-02-13,Home & Garden,Lamp,3,344.98,859.0,North,Corporate,0.17,1
ORD-0103,2023-07-30,Books,Python Guide,10,478.53,3828.24,East,Home Office,0.2,0
ORD-0104,2023-03-21,Electronics,Tablet,10,159.66,1532.74,West,Consumer,0.04,0
ORD-0105,2023-11-15,Electronics,Tablet,10,116.95,,Central,Home Office,0.15,0
ORD-0106,2023-06-29,Home & Garden,Chair,3,140.27,307.19,North,Consumer,0.27,0
ORD-0107,2023-06-24,Clothing,T-Shirt,2,374.33,688.77,South,Corporate,0.08,0
ORD-0108,2023-02-11,Books,Python Guide,1,82.01,60.69,East,Corporate,0.26,0
ORD-0109,2023-12-14,Home & Garden,Table,9,61.34,469.25,Central,Corporate,0.15,0
